Plot,Subplot,Sort Date,Species,Dried Wt,Bag Wt ,Biomass Wt,Notes,Tare (L),Tare (S)
27,2,"July 9, 2018",Achillia millefolium,10.4,7,,,,
27,2,"July 9, 2018",Ambrosa artemisifolia,3.51,2.77,,,,
27,2,"July 9, 2018",Andropogon gerardii,3.01,2.77,,,,
27,2,"July 9, 2018",Cirsium arvense,2.82,2.77,,,,
27,2,"July 9, 2018",Elymus sp.,3.04,2.77,,,,
27,2,"July 9, 2018",Heliopsis helianthoides,2.89,2.77,,,,
27,2,"July 9, 2018",Lithospermum incisum,2.81,2.77,,,,
27,2,"July 9, 2018",Litter,5.39,2.77,,,,
27,2,"July 9, 2018",Ratibita pinnata,3.01,2.77,,,,
27,2,"July 9, 2018",Rudbeckia hirta,3.21,2.77,,,,
27,3,"July 9, 2018",Andropogon gerardii,22.9,7,,,,
27,3,"July 9, 2018",Artemisia absinthium,5.3,4.6,,,,
27,3,"July 9, 2018",Cirsium arvense,13.7,7,,,,
27,3,"July 9, 2018",Elymus sp.,37,7,,,,
27,3,"July 9, 2018",Litter,8.77,4.6,,,,
27,3,"July 9, 2018",Rudbeckia hirta,2.86,2.77,,,,
27,3,"July 9, 2018",Taraxacum officinale,12.1,7,,,,
28,1,"July 11, 2018",Bromus inermis,6.84,4.6,,,,
28,1,"July 11, 2018",Linnaea boreelis,5.07,4.6,,,,
28,1,"July 11, 2018",Litter,94.3,10.2,,,,
28,1,"July 11, 2018",Poa pratensis,5.85,4.6,,,,
28,1,"July 11, 2018",Rhus glabre,8.95,4.6,,,,
28,1,"July 11, 2018",Solidago sp.,6.07,4.6,,,,
28,1,"July 11, 2018",Taraxacum officinale,4.67,4.6,,,,
28,1,"July 11, 2018",Unknown,4.84,4.6,,forb,,
28,2,"July 5, 2018",Bromus inermis,14.4,7,,,,
28,2,"July 5, 2018",Litter,30.6,7,,,,
28,2,"July 5, 2018",Monarda fistulosa,3.24,2.77,,,,
28,2,"July 5, 2018",Poa pratensis,7.26,4.6,,,,
28,2,"July 5, 2018",Toxicodendron radicans,6.05,4.6,,,,
28,3,"July 9, 2018",Andropogon gerardii,6.06,4.6,,,,
28,3,"July 9, 2018",Bromus inermis,21,7,,,,
28,3,"July 9, 2018",Liatris aspera,3.39,2.77,,,,
28,3,"July 9, 2018",Liatris sp.,3.31,2.77,,,,
28,3,"July 9, 2018",Litter,30.9,7,,,,
28,3,"July 9, 2018",Poa pratensis,7.67,4.6,,,,
28,3,"July 9, 2018",Toxicodendron radicans,4.22,2.77,,,,
28,3,"July 9, 2018",Unknown,2.83,2.77,,forb,,
